,,Name,SKU,Category,Brand,Unit,Cost Price,Sale Price,Min Stock Level,Current Stock,Description
,,Wash Basin Vivana,10071,Sanitary Ware,Stella,pcs,,0.0,5,0,
,,Wash Basin Arina Big,10072,Sanitary Ware,Stella,pcs,,0.0,5,0,
,,Wash Basin Arina Normal White,10073,Sanitary Ware,Stella,pcs,4077.04,4796.2,5,2,
,,Wash Basin Arina Normal Off/White,10074,Sanitary Ware,Stella,pcs,4077.04,4796.2,5,5,
,,Wash Basin Octavia,10075,Sanitary Ware,Stella,pcs,4346,5112.6,5,1,
,,Wash Basin Angelina,10076,Sanitary Ware,Stella,pcs,3653.1,4297.5,5,2,
,,Wash Basin Verso Big,10077,Sanitary Ware,Stella,pcs,,0.0,5,0,
,,Wash Basin Sofia,10078,Sanitary Ware,Stella,pcs,,0.0,5,0,
,,Wash Basin Imola,10079,Sanitary Ware,Stella,pcs,,0.0,5,0,
,,Wash Basin Marcela,10080,Sanitary Ware,Stella,pcs,3199.64,3764.1,5,1,
,,Wash Basin Romeo,10081,Sanitary Ware,Stella,pcs,,0.0,5,0,
,,Wash Basin Lucia,10082,Sanitary Ware,Stella,pcs,,0.0,5,0,
,,Elana Cornar Basin,10083,Sanitary Ware,Stella,pcs,2624.82,3087.8,5,2,
,,Wash Basin Maria,10084,Sanitary Ware,Stella,pcs,,0.0,5,0,
,,Wash Basin Silvana Decorative,10085,Sanitary Ware,Stella,pcs,,0.0,5,0,
,,Wash Basin Silvana ,10086,Sanitary Ware,Stella,pcs,,0.0,5,0,
,,Wash Basin Adriana,10087,Sanitary Ware,Stella,pcs,2092.64,2461.8,5,5,
,,Wash Basin Adriana Off/White,10088,Sanitary Ware,Stella,pcs,2092.64,2461.8,5,5,
,,Nova Over Counter Basin,10089,Sanitary Ware,Stella,pcs,,0.0,5,0,
,,Savina Squre Counter Basin,10090,Sanitary Ware,Stella,pcs,,0.0,5,0,
,,Wash Basin Crown,10091,Sanitary Ware,Stella,pcs,2482.14,2920.0,5,0,
,,Asian Pan,10092,Sanitary Ware,Stella,pcs,,0.0,5,0,
,,Bubble Pan,10093,Sanitary Ware,Stella,pcs,2038.52,2398.1,5,4,
,,Luca Off/White,10094,Sanitary Ware,Stella,pcs,1681,1977.5,5,2,
,,Luca White,10095,Sanitary Ware,Stella,pcs,1681,1977.5,5,9,
,,Mario,10096,Sanitary Ware,Stella,pcs,,0.0,5,0,
,,Leo,10097,Sanitary Ware,Stella,pcs,,0.0,5,0,
,,Tino Off/White,10098,Sanitary Ware,Stella,pcs,977.44,1149.9,5,0,
,,Tino White,10099,Sanitary Ware,Stella,pcs,977.44,1149.9,5,8,
,,Selia,10100,Sanitary Ware,Stella,pcs,,0.0,5,0,
,,Alisha,10101,Sanitary Ware,Stella,pcs,,0.0,5,0,
,,Susana,10102,Sanitary Ware,Stella,pcs,,0.0,5,0,
,,Petra,10103,Sanitary Ware,Stella,pcs,,0.0,5,0,
,,Water Tank Marcela For Pan,10001,Sanitary Ware,Stella,pcs,,0.0,5,0,
,,Endura PVC Water Tank,10001,Sanitary Ware,Stella,pcs,,0.0,5,0,
,,Suzan Metal,,,,,,0.0,5,0,
,,Products Name,,,,,,,5,,
,,Lever Basin Mixar,1018 D,Metal,Suzon,pcs,2625,3499.9,5,8,
,,Lever Bath Tub Mixar,1019 D,Metal,Suzon,pcs,,0.0,5,0,
,,Shower Mixar,1086 B+(3/4''),Metal,Suzon,pcs,,0.0,5,0,
